Feature1,Feature2,Target
1.725,520,Yes
1.8875,428,No
1.6,552,Yes
1.425,500,No
1.775,628,No
1.3375,532,No
2.0,612,No
1.5,612,No
1.725,408,No
1.9625,632,No
1.475,596,No
1.525,444,No
1.375,400,No
1.375,612,No
1.5375,572,Yes
1.9,416,No
1.6875,516,Yes
1.7375,516,Yes
1.5375,632,No
1.275,624,No
1.5125,464,Yes
1.9,588,No
1.2625,584,No
1.5375,488,Yes
1.7875,456,No
1.6125,544,Yes
1.7125,480,Yes
1.2625,452,No
1.9875,404,No
1.5,440,No
1.65,600,No
1.3875,552,No
1.9625,548,No
1.5125,636,No
2.0,532,No
1.7875,548,
1.55,596,No
1.85,532,No
1.575,468,Yes
1.975,516,No
1.7625,456,No
1.5875,504,Yes
1.9875,600,No
1.4375,532,No
1.425,604,No
1.825,624,No
1.875,548,No
1.7875,528,Yes
1.925,492,No
1.8875,456,No
1.95,636,No
1.275,516,No
1.7,616,No
1.875,564,No
1.325,600,No
1.5,464,Yes
1.35,416,No
1.725,512,Yes
1.4625,412,No
1.2875,436,No
1.55,620,No
1.9875,464,No
1.4125,436,No
1.8625,464,No
1.9625,636,No
1.35,476,No
1.5625,492,Yes
1.9,416,No
1.2625,532,No
1.4875,420,No
1.5875,608,No
1.825,404,No
1.9875,448,No
1.325,568,No
1.7875,568,No
2.0,588,No
1.3375,440,No
1.825,600,No
1.675,584,No
1.4125,624,No
1.45,488,No
1.6875,616,No
1.8625,460,No
1.7375,520,Yes
1.2875,440,No
1.2625,612,No
1.3125,460,No
1.9125,428,No
1.7625,412,No
1.2875,556,No
1.9125,412,No
1.6,620,No
1.4625,496,No
1.5625,408,No
1.7875,524,Yes
1.6625,408,No
1.3625,504,No
1.6875,512,Yes
1.4125,524,Yes
1.625,596,No
1.8375,640,No
1.425,628,
1.3375,600,No
1.4125,472,No
1.525,480,Yes
1.9875,416,No
1.95,468,No
1.7375,508,Yes
1.5,564,Yes
1.4375,640,No
1.8,484,Yes
1.4625,480,No
1.825,420,No
1.9,400,No
1.5375,416,No
1.5625,560,Yes
1.55,444,No
1.9875,500,No
1.9875,580,No
1.9875,532,No
1.8,592,No
1.75,452,No
1.6,500,Yes
1.425,576,No
1.8,504,Yes
1.25,432,No
1.55,500,Yes
1.325,624,No
1.35,584,No
1.5375,624,No
1.25,484,No
1.7875,584,No
10000.0,620,No
1.5375,516,Yes
1.375,568,No
1.875,588,No
1.45,640,No
1.3375,464,No
1.675,500,Yes
1.675,540,Yes
1.65,400,No
1.975,428,No
1.3,592,No
1.7625,536,Yes
1.725,640,No
1.9625,604,No
1.75,456,No
1.5875,584,Yes
1.325,620,No
1.35,484,No
1.3375,452,No
1.3875,500,No
1.6625,508,Yes
1.65,488,Yes
1.8375,452,No
1.925,492,No
1.525,404,No
1.5375,576,Yes
1.7,500,Yes
1.675,452,No
1.7875,632,No
1.7375,620,No
1.5125,600,No
1.575,424,No
1.675,408,No
1.25,584,No
1.675,488,
1.7,580,Yes
1.825,568,No
1.4125,584,No
1.275,636,No
1.25,576,No
1.3,468,No
1.5625,628,No
1.925,548,No
1.4125,536,No
1.725,600,No
1.575,456,No
1.35,496,No
1.425,616,No
1.425,544,No
1.5625,508,Yes
1.7625,436,No
1.9875,552,No
1.4,624,No
1.875,464,No
1.6375,552,Yes
1.725,484,Yes
1.85,500,No
1.8875,572,No
2.0,496,No
1.6375,464,Yes
1.2875,448,No
1.6125,476,Yes
1.7,496,Yes
1.525,412,No
1.725,436,No
1.8,408,No
1.425,560,No
1.775,576,No
1.6,468,Yes
1.6875,584,Yes
1.4,540,No
1.6375,584,No
1.325,484,No
1.975,532,No
1.875,584,No
1.5125,428,No
1.5875,556,Yes
1.2625,592,No
1.7625,572,Yes
1.8,472,No
1.95,564,No
1.9,560,No
1.3125,544,No
1.5875,420,No
1.5875,604,No
1.7875,500,
1.7875,532,Yes
1.4875,632,No
1.6125,620,No
1.375,632,No
1.9625,576,No
1.925,420,No
1.5875,544,Yes
1.55,624,No
1.725,528,Yes
1.65,608,No
1.25,484,No
1.95,480,No
1.575,420,No
1.95,420,No
1.8875,616,No
1.4,588,No
1.75,412,No
1.275,516,No
1.725,440,No
1.3125,516,No
1.3375,520,No
1.575,492,Yes
1.35,616,No
1.7,432,No
1.65,616,No
1.875,408,No
1.7625,600,No
1.7875,520,Yes
1.5375,556,Yes
1.425,544,Yes
1.975,540,No
1.9125,492,No
1.6375,520,Yes
1.6375,420,No
1.5375,404,No
1.75,476,Yes
1.8875,508,No
1.85,440,No
1.85,412,No
1.9625,456,No
1.8875,420,No
1.3875,612,No
1.725,592,No
1.2625,516,No
1.275,620,No
1.85,548,No
1.7,600,No
1.85,624,No
1.9375,404,No
1.45,456,No
1.975,440,No
1.85,428,No
1.2625,500,No
1.2625,600,No
1.5875,576,Yes
1.9125,572,No
1.525,416,No
1.7,420,No
1.6375,500,Yes
1.65,612,No
1.25,412,No
1.475,472,
1.2625,476,No
1.9,528,No
1.7875,476,Yes
1.5625,592,No
1.6375,444,No
1.3125,584,No
1.6375,400,No
1.925,500,
1.2875,452,No
1.925,548,No
1.375,544,No
1.9375,440,No
1.975,540,No
1.45,448,No
1.7125,568,Yes
1.5375,408,No
1.3,528,No
1.8875,420,No
1.6625,596,No
1.3125,620,No
1.5125,436,No
1.375,416,
1.8375,488,No
1.4375,436,No
1.65,572,Yes
1.35,404,No
1.9875,448,No
1.975,556,No
1.3125,404,No
1.4375,476,No
1.6,400,No
1.275,544,No
1.4875,432,No
1.9875,464,No
1.975,432,No
1.6875,440,No
1.475,456,No
1.5625,492,Yes
1.275,548,No
1.475,616,No
1.4875,536,Yes
1.6375,516,Yes
1.325,520,No
1.8875,592,No
1.75,416,No
1.65,636,No
1.7375,572,No
1.725,596,No
1.4625,452,No
1.7375,608,No
1.25,620,No
1.375,440,No
1.5875,432,No
1.95,532,No
1.55,444,No
1.8625,536,No
1.525,536,Yes
1.625,400,No
1.6125,556,Yes
1.7625,484,No
1.675,636,No
1.325,512,No
1.9875,428,No
1.4375,440,No
1.5625,560,Yes
1.8375,544,No
1.95,452,No
1.8875,636,No
1.9875,516,No
1.85,536,No
1.2625,480,No
1.25,544,No
1.8375,416,
1.3875,472,No
1.3,632,No
1.7,452,No
1.6375,500,Yes
1.975,412,No
1.925,496,No
1.35,576,No
1.75,564,No
1.675,496,Yes
1.475,468,No
1.8375,556,No
1.4375,428,No
1.275,552,No
1.4875,556,Yes
1.5375,452,No
1.9125,524,No
1.9375,600,No
1.65,640,No
1.5375,548,Yes
1.8875,528,No
1.375,488,No
1.85,456,No
1.3375,528,No
1.6875,496,Yes
1.7125,464,No
